1997,South Africa,46.42,44.77,45.21,43.86,
2009,Bahamas,46.4,45.3,44.24,44.35,
2017,U.S.A,45.1,45.1,44.73,45.36,
1988,Jamaica,45.05,44.9,45.8,44.55,
2014,Bahamas,45.5,44.5,44.8,45.5,
2014,Great Britain,45.4,44.7,46,44.2,
1991,Kenya,46.1,44.4,44.87,44.94,
1997,Poland,45.3,45.1,45.14,44.78,
2015,Belgium,45.5,45.3,43.58,45.95,
1991,Serbia and Montenegro,46,45.1,45.18,44.09,
1985,Germany,45.7,45,45.1,44.6,
